model,threshold,f1,mcc,recall,precision,cost
Dummy_All_Normal,0.79,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.8,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.81,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.8200000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.8300000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.8400000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.85,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.86,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.87,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.88,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.89,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.9,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.91,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.92,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.93,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.9400000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.9500000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.9600000000000001,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.97,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.98,0.0,0.0,0.0,0.0,34000
Dummy_All_Normal,0.99,0.0,0.0,0.0,0.0,34000
LogisticRegression,0.01,0.13953488372093023,0.19362765113839295,0.9264705882352942,0.07544910179640718,10220
LogisticRegression,0.02,0.18619582664526485,0.2411023320362359,0.8529411764705882,0.1045045045045045,9970
LogisticRegression,0.03,0.22044088176352705,0.27072125558219634,0.8088235294117647,0.12761020881670534,10260
LogisticRegression,0.04,0.24401913875598086,0.28390480401852114,0.75,0.1457142857142857,11490
LogisticRegression,0.05,0.2677595628415301,0.3011454199101401,0.7205882352941176,0.1644295302013423,11990
LogisticRegression,0.060000000000000005,0.28662420382165604,0.30774972997838107,0.6617647058823529,0.18292682926829268,13510
LogisticRegression,0.06999999999999999,0.31141868512110726,0.3298807461662394,0.6617647058823529,0.20361990950226244,13260
LogisticRegression,0.08,0.3208955223880597,0.3329118839380041,0.6323529411764706,0.215,14070
LogisticRegression,0.09,0.3442622950819672,0.35075082808508334,0.6176470588235294,0.23863636363636365,14340
LogisticRegression,0.09999999999999999,0.36771300448430494,0.36867268353056715,0.6029411764705882,0.2645161290322581,14640
